relative_time,AccZ
0,10.01635742
54,10.01396179
111,10.02592468
112,10.01635742
168,10.00439453
225,10.01396179
282,10.01875305
339,10.01875305
396,10.01396179
470,10.01396179
524,10.2771759
525,10.31306458
569,10.07139587
570,10.03311157
623,10.00439453
685,9.987640381
752,9.97807312
753,9.930221558
796,9.810577393
797,9.968505859
853,10.0019989
919,9.999603271
965,10.00917053
1021,10.57867432
1079,10.05703735
1160,10.01156616
1215,9.997207642
1249,9.982849121
1308,9.899108887
1363,10.00439453
1434,10.00679016
1477,10.00439453
1538,10.01396179
1591,10.00439453
1648,10.00917053
1710,9.994827271
1760,10.01156616
1821,10.0019989
1891,10.00679016
1943,9.994827271
1990,9.999603271
2051,10.01156616
2102,10.00917053
2159,9.999603271
2217,10.00679016
2278,10.00679016
2334,10.00439453
2386,10.00679016
2447,10.01396179
2500,9.999603271
2575,10.00679016
2623,10.00679016
2676,10.00917053
2732,10.00439453
2733,10.01875305
2795,10.0019989
2865,10.00439453
2922,9.997207642
2977,10.00439453
3042,10.01156616
3071,9.997207642
3126,9.992431641
3183,10.00679016
3243,9.999603271
3298,9.999603271
3354,9.987640381
3355,10.02592468
3410,10.0019989
3486,10.01396179
3531,10.01635742
3582,9.997207642
3638,9.997207642
3639,10.01396179
3696,10.00917053
3753,10.01635742
3815,9.997207642
3816,10.00679016
3871,10.00439453
3929,10.0019989
3997,10.00439453
4053,9.999603271
4102,10.00439453
4153,10.00439453
4208,10.00679016
4269,9.990036011
4320,10.00679016
4377,10.0019989
4442,9.999603271
4502,10.00679016
4555,9.982849121
4607,9.999603271
4680,10.00439453
4728,10.0019989
4777,10.0019989
4836,10.0019989
4891,10.0019989
4950,10.0019989
5004,9.994827271
5061,10.00439453
5122,9.999603271
5175,10.00917053
5231,10.02352905
5232,9.997207642
5293,10.01875305
5348,9.987640381
5408,9.987640381
5458,9.999603271
5523,10.00439453
5577,10.02114868
5655,10.02352905
5704,9.992431641
5753,10.42791748
5805,11.30609131
5876,10.66001892
5916,10.52124023
5999,10.4375
6027,10.49491882
6086,10.45663452
6142,10.54756165
6221,10.57388306
6273,10.59063721
6315,10.53799438
6372,10.5308075
6446,10.49012756
6483,10.39682007
6538,10.32263184
6596,10.25085449
6652,10.17668152
6711,10.03549194
6768,9.985244751
6824,10.07617188
6900,10.09532166
6955,10.0019989
6995,9.956542969
7053,10.00917053
7115,10.00679016
7166,10.01156616
7224,9.994827271
7278,10.10009766
7347,9.920639038
7392,9.923034668
7450,10.10488892
7507,9.918243408
7563,9.98046875
7632,10.08335876
7692,10.02352905
7734,9.97567749
7815,9.937393188
7855,10.01875305
7910,10.00439453
7973,9.982849121
8027,9.925430298
8075,10.04507446
8131,10.04747009
8191,9.98046875
8245,10.02114868
8302,9.985244751
8359,10.04747009
8415,9.944564819
8416,9.95892334
8472,10.00679016
8532,9.939788818
8608,10.00679016
8643,10.00917053
8700,10.03549194
8757,9.985244751
8814,9.982849121
8874,10.02352905
8927,9.95892334
8985,10.03311157
9049,9.944564819
9098,10.02352905
9156,9.96131897
9212,9.997207642
9269,9.968505859
9326,9.9637146
9383,10.05703735
9440,10.00679016
9496,10.00439453
9553,9.96131897
9621,10.01156616
9667,9.954147339
9726,10.03788757
9781,9.95892334
9837,9.97328186
9838,9.927825928
9894,10.02352905
9951,9.994827271
10014,9.994827271
10065,9.927825928
10122,10.05224609
10179,9.939788818
10235,10.05703735
10236,9.9637146
10294,9.927825928
10352,10.0019989
10406,9.994827271
10475,10.02592468
10524,10.02352905
10582,9.927825928
10634,10.02352905
10691,9.920639038
10759,10.04985046
10804,9.925430298
10861,10.01635742
10918,9.994827271
10975,9.97088623
11032,9.990036011
11089,9.949356079
11146,10.0905304
11203,9.9637146
11259,10.02592468
11260,9.987640381
11327,9.858428955
11380,10.00917053
11439,9.997207642
11490,10.05224609
11551,9.992431641
11601,9.884750366
11658,10.05943298
11716,9.982849121
11773,10.10728455
11841,9.863220215
11886,9.97567749
11943,9.982849121
12003,10.03071594
12057,9.954147339
12059,9.894317627
12117,10.05943298
12173,9.939788818
12229,9.994827271
12285,9.927825928
12342,9.944564819
12399,10.01396179
12456,9.98046875
12458,9.937393188
12512,10.13600159
12570,9.968505859
12634,10.01156616
12683,9.844070435
12743,9.97088623
12797,10.00439453
12862,9.96131897
12912,10.00679016
12969,9.918243408
13028,10.01635742
13081,9.946960449
13138,10.12164307
13200,9.939788818
13252,9.994827271
13309,9.856033325
13365,9.949356079
13423,9.934997559
13479,9.382263184
13480,9.353546143
13536,9.583251953
13593,9.537796021
13650,9.635894775
13707,9.413360596
13764,9.494720459
13821,9.403793335
13878,9.463607788
13935,9.454040527
13992,9.468399048
14048,9.556930542
14105,9.528213501
14165,9.626327515
14227,9.607177734
14228,9.712463379
14276,9.791427612
14332,9.808181763
14390,9.918243408
14447,9.865615845
14503,9.939788818
14560,9.934997559
14561,9.987640381
14624,9.97328186
14674,9.987640381
14732,9.966110229
14788,9.966110229
14847,9.899108887
14901,9.982849121
14958,9.966110229
15015,10.01396179
15016,9.951751709
15072,9.95892334
15132,9.951751709
15186,9.934997559
15243,9.999603271
15300,10.00679016
15356,9.95892334
15357,9.896713257
15415,9.942184448
15471,9.913467407
15528,9.951751709
15584,9.934997559
15641,9.966110229
15700,9.920639038
15755,9.908676147
15811,9.966110229
15812,10.01156616
15868,10.00439453
15925,9.992431641
15983,9.987640381
16040,9.98046875
16096,9.934997559
16153,9.946960449
16211,9.949356079
16277,9.951751709
16327,9.908676147
16380,9.896713257
16448,9.942184448
16496,10.0019989
16554,10.03549194
16608,9.966110229
16665,9.887145996
16724,8.860626221
16780,9.796218872
16838,10.04747009
16893,10.50927734
16949,9.923034668
16950,9.872787476
17009,9.968505859
17071,9.865615845
17120,9.920639038
17177,9.923034668
17234,9.999603271
17291,9.992431641
17347,10.00439453
17413,10.01635742
17461,9.918243408
17518,9.949356079
17577,9.96131897
17578,9.956542969
17632,9.894317627
17689,9.98046875
17745,9.956542969
17803,9.992431641
17804,9.913467407
17859,9.956542969
17916,9.913467407
17973,9.985244751
18030,9.932601929
18088,9.9637146
18144,9.97088623
18201,9.982849121
18266,9.956542969
18267,9.954147339
18314,9.95892334
18372,10.0402832
18439,9.95892334
18485,9.98046875
18542,9.930221558
18599,9.918243408
18659,9.934997559
18714,9.98046875
18769,9.932601929
18832,9.956542969
18884,9.97328186
18942,9.96131897
18997,9.944564819
19053,9.9637146
19054,9.930221558
19112,9.925430298
19168,9.951751709
19225,9.949356079
19226,9.939788818
19282,9.920639038
19338,9.95892334
19396,9.96131897
19452,9.96131897
19510,9.903900146
19566,9.930221558
19622,9.934997559
19688,9.951751709
19736,9.956542969
19793,9.937393188
19850,9.937393188
19908,9.942184448
19972,9.939788818
20021,9.934997559
20098,9.932601929
